ID,HouseType,Size,Price,LotSize,Balcony,LivingSpace,NumberRooms,YearBuilt,Locality,PostalCode
4000293349,SINGLE_HOUSE,L,1364160.0,412.0,,240.0,9.0,2009.0,Riva San Vitale,6826
4000271672,BIFAMILIAR_HOUSE,L,1161300.0,,,190.0,7.5,,Fribourg,1700
4000271670,BIFAMILIAR_HOUSE,L,1161300.0,,,190.0,7.5,,Fribourg,1700
4000242428,SINGLE_HOUSE,L,2572500.0,480.0,,250.0,8.5,1999.0,Erlinsbach,5018
4000226187,SINGLE_HOUSE,L,1896300.0,828.0,,350.0,9.0,2001.0,Brügg BE,2555
4000202098,BIFAMILIAR_HOUSE,L,2646000.0,773.0,,360.0,9.5,1985.0,Lausanne 26,1000
4000192352,ROW_HOUSE,L,1176000.0,186.0,,157.0,7.5,1967.0,Reinach BL,4153
4000164260,SINGLE_HOUSE,L,2058000.0,2263.0,,420.0,14.0,1898.0,Lampenberg,4432
4000133341,SINGLE_HOUSE,L,1102500.0,1469.0,,146.0,7.5,1970.0,Bolken,4556
3003465251,SINGLE_HOUSE,L,1896300.0,910.0,,220.0,,1981.0,Tobel-Tägerschen,9555
3003377674,SINGLE_HOUSE,L,1396500.0,1181.0,,290.0,11.5,1967.0,Sierre,3960
3002327821,SINGLE_HOUSE,L,2925300.0,965.0,,270.0,11.0,1989.0,Kreuzlingen,8280
3001845800,VILLA,L,5292000.0,1110.0,,510.0,11.0,2002.0,Stettfurt,9507
4000830780,BIFAMILIAR_HOUSE,L,2131500.0,530.0,,360.0,9.5,1978.0,St-Légier-La Chiésaz,1806
4000830776,BIFAMILIAR_HOUSE,L,3660300.0,686.0,,260.0,9.5,2001.0,Vandoeuvres,1253
4000830775,SINGLE_HOUSE,L,1617000.0,721.0,,160.0,8.5,1984.0,Thielle,2075
4000829822,BIFAMILIAR_HOUSE,L,1881600.0,302.0,,300.0,8.5,2004.0,Weesen,8872
4000829401,SINGLE_HOUSE,L,1455300.0,,,250.0,8.5,1964.0,Evilard,2533
